,lat,lon,spatial_ref,amplitude,lst_morning,lst_evening,_sumsum,building_area,_ndvisum,ndvi_area,geometry
6639,49.08431766965577,3.099170490738564,0,14.150534791291511,33.6533171453334,19.50278235404187,17.0,1700,7038.0,703800,"POLYGON ((3.104161890292573 49.079356262655224, 3.104161890292573 49.08927907665631, 3.094179091184555 49.08927907665631, 3.094179091184555 49.079356262655224, 3.104161890292573 49.079356262655224))"
6640,49.08431766965577,3.109153289846583,0,14.850798700296433,34.27306040884167,19.422261708545193,11.0,1100,6027.0,602700,"POLYGON ((3.114144689400592 49.079356262655224, 3.114144689400592 49.08927907665631, 3.104161890292573 49.08927907665631, 3.104161890292573 49.079356262655224, 3.114144689400592 49.079356262655224))"
6641,49.08431766965577,3.1191360889546016,0,15.915175585443512,34.79166626634736,18.876490680903828,24.0,2400,4859.0,485900,"POLYGON ((3.124127488508611 49.079356262655224, 3.124127488508611 49.08927907665631, 3.114144689400592 49.08927907665631, 3.114144689400592 49.079356262655224, 3.124127488508611 49.079356262655224))"
6642,49.08431766965577,3.1291188880626204,0,16.04804804145482,34.62981143752694,18.58176339607212,10.0,1000,4275.0,427500,"POLYGON ((3.13411028761663 49.079356262655224, 3.13411028761663 49.08927907665631, 3.124127488508611 49.08927907665631, 3.124127488508611 49.079356262655224, 3.13411028761663 49.079356262655224))"
6643,49.08431766965577,3.139101687170639,0,15.536954132953918,34.1237928217011,18.586838688747207,0.0,0,0.0,0,"POLYGON ((3.144093086724649 49.079356262655224, 3.144093086724649 49.08927907665631, 3.13411028761663 49.08927907665631, 3.13411028761663 49.079356262655224, 3.144093086724649 49.079356262655224))"
6644,49.09424048365685,1.6416818209678232,0,9.173503264981514,30.817055058174788,21.643551793193183,0.0,0,8048.0,804800,"POLYGON ((1.646673220521833 49.08927907665631, 1.646673220521833 49.09920189065738, 1.636690421413814 49.09920189065738, 1.636690421413814 49.08927907665631, 1.646673220521833 49.08927907665631))"
6645,49.09424048365685,1.651664620075842,0,9.663569714893674,30.821708648016397,21.1581389331227,1.0,100,7178.0,717800,"POLYGON ((1.656656019629851 49.08927907665631, 1.656656019629851 49.09920189065738, 1.646673220521833 49.09920189065738, 1.646673220521833 49.08927907665631, 1.656656019629851 49.08927907665631))"
6646,49.09424048365685,1.6616474191838608,0,10.381548986625763,31.281818777024853,20.90026979039908,4.0,400,6120.0,612000,"POLYGON ((1.66663881873787 49.08927907665631, 1.66663881873787 49.09920189065738, 1.656656019629851 49.09920189065738, 1.656656019629851 49.08927907665631, 1.66663881873787 49.08927907665631))"
6647,49.09424048365685,1.6716302182918794,0,11.239365338446225,32.12400337195419,20.88463803350794,1.0,100,5837.0,583700,"POLYGON ((1.676621617845889 49.08927907665631, 1.676621617845889 49.09920189065738, 1.66663881873787 49.09920189065738, 1.66663881873787 49.08927907665631, 1.676621617845889 49.08927907665631))"
6648,49.09424048365685,1.6816130173998982,0,11.253868361118986,32.59315473095694,21.339286369837964,8.0,800,3185.0,318500,"POLYGON ((1.686604416953908 49.08927907665631, 1.686604416953908 49.09920189065738, 1.676621617845889 49.09920189065738, 1.676621617845889 49.08927907665631, 1.686604416953908 49.08927907665631))"
6649,49.09424048365685,1.691595816507917,0,9.834683816558277,32.100038657989444,22.26535484143119,6.0,600,5134.0,513400,"POLYGON ((1.696587216061926 49.08927907665631, 1.696587216061926 49.09920189065738, 1.686604416953908 49.09920189065738, 1.686604416953908 49.08927907665631, 1.696587216061926 49.08927907665631))"
6650,49.09424048365685,1.7015786156159358,0,9.079249504956772,31.716307053327455,22.63705754837065,3.0,300,7583.0,758300,"POLYGON ((1.706570015169945 49.08927907665631, 1.706570015169945 49.09920189065738, 1.696587216061926 49.09920189065738, 1.696587216061926 49.08927907665631, 1.706570015169945 49.08927907665631))"
6651,49.09424048365685,1.7115614147239546,0,9.24143160126082,31.61232015467374,22.370888553412897,0.0,0,8046.0,804600,"POLYGON ((1.716552814277964 49.08927907665631, 1.716552814277964 49.09920189065738, 1.706570015169945 49.09920189065738, 1.706570015169945 49.08927907665631, 1.716552814277964 49.08927907665631))"
6652,49.09424048365685,1.7215442138319734,0,9.264825426968468,31.038342066251744,21.773516639283287,15.0,1500,7953.0,795300,"POLYGON ((1.726535613385983 49.08927907665631, 1.726535613385983 49.09920189065738, 1.716552814277964 49.09920189065738, 1.716552814277964 49.08927907665631, 1.726535613385983 49.08927907665631))"
6653,49.09424048365685,1.731527012939992,0,8.754246215534703,30.958626899366095,22.204380683831403,3.0,300,7402.0,740200,"POLYGON ((1.736518412494001 49.08927907665631, 1.736518412494001 49.09920189065738, 1.726535613385983 49.09920189065738, 1.726535613385983 49.08927907665631, 1.736518412494001 49.08927907665631))"
6654,49.09424048365685,1.7415098120480108,0,8.215056322840178,31.10181260109249,22.886756278252335,13.0,1300,7712.0,771200,"POLYGON ((1.74650121160202 49.08927907665631, 1.74650121160202 49.09920189065738, 1.736518412494001 49.09920189065738, 1.736518412494001 49.08927907665631, 1.74650121160202 49.08927907665631))"
6655,49.09424048365685,1.7514926111560296,0,8.099078481722552,30.859067744773142,22.759989263050556,1.0,100,8028.0,802800,"POLYGON ((1.756484010710039 49.08927907665631, 1.756484010710039 49.09920189065738, 1.74650121160202 49.09920189065738, 1.74650121160202 49.08927907665631, 1.756484010710039 49.08927907665631))"
6656,49.09424048365685,1.7614754102640484,0,9.367645407930706,31.193174176490857,21.82552876856016,5.0,500,7559.0,755900,"POLYGON ((1.766466809818058 49.08927907665631, 1.766466809818058 49.09920189065738, 1.756484010710039 49.09920189065738, 1.756484010710039 49.08927907665631, 1.766466809818058 49.08927907665631))"
6657,49.09424048365685,1.7714582093720672,0,8.073240238662294,29.747910973625892,22.006750182458745,46.0,4600,7706.0,770600,"POLYGON ((1.776449608926077 49.08927907665631, 1.776449608926077 49.09920189065738, 1.766466809818058 49.09920189065738, 1.766466809818058 49.08927907665631, 1.776449608926077 49.08927907665631))"
6658,49.09424048365685,1.781441008480086,0,8.443944087668314,30.073031822221708,21.94894852916201,24.0,2400,7740.0,774000,"POLYGON ((1.786432408034095 49.08927907665631, 1.786432408034095 49.09920189065738, 1.776449608926077 49.09920189065738, 1.776449608926077 49.08927907665631, 1.786432408034095 49.08927907665631))"
6659,49.09424048365685,1.7914238075881048,0,10.028695525564146,30.69564516949913,21.12582692002428,73.0,7300,6726.0,672600,"POLYGON ((1.796415207142114 49.08927907665631, 1.796415207142114 49.09920189065738, 1.786432408034095 49.09920189065738, 1.786432408034095 49.08927907665631, 1.796415207142114 49.08927907665631))"
6660,49.09424048365685,1.8014066066961236,0,11.387485247663307,30.902170179051836,20.2588187343797,6.0,600,7566.0,756600,"POLYGON ((1.806398006250133 49.08927907665631, 1.806398006250133 49.09920189065738, 1.796415207142114 49.09920189065738, 1.796415207142114 49.08927907665631, 1.806398006250133 49.08927907665631))"
6661,49.09424048365685,1.8113894058041424,0,13.068620583494635,31.676312775881684,19.5810592415296,3.0,300,4253.0,425300,"POLYGON ((1.816380805358152 49.08927907665631, 1.816380805358152 49.09920189065738, 1.806398006250133 49.09920189065738, 1.806398006250133 49.08927907665631, 1.816380805358152 49.08927907665631))"
6662,49.09424048365685,1.821372204912161,0,14.385723994480784,32.883588756946494,19.384110300650832,1.0,100,1166.0,116600,"POLYGON ((1.82636360446617 49.08927907665631, 1.82636360446617 49.09920189065738, 1.816380805358152 49.09920189065738, 1.816380805358152 49.08927907665631, 1.82636360446617 49.08927907665631))"
6663,49.09424048365685,1.8313550040201798,0,15.070606490622666,33.58485471019122,19.314941503823093,0.0,0,2295.0,229500,"POLYGON ((1.836346403574189 49.08927907665631, 1.836346403574189 49.09920189065738, 1.82636360446617 49.09920189065738, 1.82636360446617 49.08927907665631, 1.836346403574189 49.08927907665631))"
6664,49.09424048365685,1.8413378031281986,0,14.640579605235734,34.07539309959111,19.43481349435541,5.0,500,4055.0,405500,"POLYGON ((1.846329202682208 49.08927907665631, 1.846329202682208 49.09920189065738, 1.836346403574189 49.09920189065738, 1.836346403574189 49.08927907665631, 1.846329202682208 49.08927907665631))"
6665,49.09424048365685,1.8513206022362174,0,13.89285827337469,33.58107905658943,19.688220783214717,5.0,500,5702.0,570200,"POLYGON ((1.856312001790227 49.08927907665631, 1.856312001790227 49.09920189065738, 1.846329202682208 49.09920189065738, 1.846329202682208 49.08927907665631, 1.856312001790227 49.08927907665631))"
6666,49.09424048365685,1.8613034013442362,0,14.074644317908678,33.28923612502251,19.214591807113834,7.0,700,7186.0,718600,"POLYGON ((1.866294800898246 49.08927907665631, 1.866294800898246 49.09920189065738, 1.856312001790227 49.09920189065738, 1.856312001790227 49.08927907665631, 1.866294800898246 49.08927907665631))"
6667,49.09424048365685,1.871286200452255,0,14.279512659348029,33.34531435756111,19.065801698213022,6.0,600,4648.0,464800,"POLYGON ((1.876277600006264 49.08927907665631, 1.876277600006264 49.09920189065738, 1.866294800898246 49.09920189065738, 1.866294800898246 49.08927907665631, 1.876277600006264 49.08927907665631))"
6668,49.09424048365685,1.8812689995602736,0,15.137456289652459,33.99047339924414,18.85301710959169,14.0,1400,4031.0,403100,"POLYGON ((1.886260399114283 49.08927907665631, 1.886260399114283 49.09920189065738, 1.876277600006264 49.09920189065738, 1.876277600006264 49.08927907665631, 1.886260399114283 49.08927907665631))"
6669,49.09424048365685,1.8912517986682924,0,15.064463769694544,34.145096760881586,19.08063299118703,23.0,2300,4821.0,482100,"POLYGON ((1.896243198222302 49.08927907665631, 1.896243198222302 49.09920189065738, 1.886260399114283 49.09920189065738, 1.886260399114283 49.08927907665631, 1.896243198222302 49.08927907665631))"
6670,49.09424048365685,1.9012345977763112,0,15.020172524298356,34.07356801032489,19.053395486026545,26.0,2600,2285.0,228500,"POLYGON ((1.906225997330321 49.08927907665631, 1.906225997330321 49.09920189065738, 1.896243198222302 49.09920189065738, 1.896243198222302 49.08927907665631, 1.906225997330321 49.08927907665631))"
